08/04/2016 15:19:28,toggle,RFD Commands Online
08/04/2016 15:19:28,newText,
15:19:28
08/04/2016 15:19:28,newText,Sent: LED?5!
08/04/2016 15:19:30,newText,Sent: LED?5!
08/04/2016 15:19:32,newText,Sent: LED?5!
08/04/2016 15:19:34,newText,Sent: LED?5!
08/04/2016 15:19:36,newText,Sent: LED?5!
08/04/2016 15:19:38,newText,Sent: LED?5!
08/04/2016 15:19:40,newText,Sent: LED?5!
08/04/2016 15:19:42,newText,Sent: LED?5!
08/04/2016 15:19:44,newText,Sent: LED?5!
08/04/2016 15:19:44,newText,Acknowledged at: 15:19:44
08/04/2016 15:19:44,newText,LED;Blinking 5 times!

